,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1328115697935847425,1328115697935847425,1605482432000.0,2020-11-15 17:20:32,-0600,,I don't know tonight I'm feeling a bit emotional trying so hard to hold back the tears just thinking bout everything that is happened in my life and thinking when am I going o catch a break 😭 #feelingdown #feelingemtional,en,"['feelingdown', 'feelingemtional']",[],853419415467175940,853419415467175940,vicky_coppack,VickyCoppack👑,7,17,https://twitter.com/vicky_coppack/status/1328115697935847425,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
1,1328027038566019072,1328027038566019072,1605461294000.0,2020-11-15 11:28:14,-0600,,"RT with corrected link! Welcome Ocean Tides Counselling! ""Struggling? Relationships, work situation, significant loss, chronic illness? #feelingdown or #worrying? Reach out. I can help.” Donna McLean MSW, RSW. #AccessLocal Provider thx to @HfxPartnership!  https://t.co/tw8ZWYbpBg",en,"['feelingdown', 'worrying', 'accesslocal']",[],1205997919972864001,1205997919972864001,vlifeappca,vlifeapp.ca,7,11,https://twitter.com/vlifeappca/status/1328027038566019072,['https://vlifeapp.ca/ocean-tides-counselling-threrapy/'],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
2,1327933934865408003,1327933934865408003,1605439096000.0,2020-11-15 05:18:16,-0600,,Feeling like ugh this morning! Just pray I make it at work. #feelingdown 😒🙏🏾,en,['feelingdown'],[],111814672,111814672,SEXYSAN25,MS SAN TO YOU!,7,05,https://twitter.com/SEXYSAN25/status/1327933934865408003,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
3,1327824487627321344,1327824487627321344,1605413002000.0,2020-11-14 22:03:22,-0600,,Gib pls.  #gib #validate #validation #likeme #feelingdown  https://t.co/3EKXaAuQo9,en,"['gib', 'validate', 'validation', 'likeme', 'feelingdown']",[],1284267730590408704,1284267730590408704,DutchessOfS4lt,Dutchess Von Dawson,6,22,https://twitter.com/DutchessOfS4lt/status/1327824487627321344,[],['https://pbs.twimg.com/media/Em1hOhXXIAE0x84.jpg'],1,https://pbs.twimg.com/media/Em1hOhXXIAE0x84.jpg,False,1,0,0,,#feelingdown,,,,,,,[],,,,
4,1327738675573174272,1327738675573174272,1605392543000.0,2020-11-14 16:22:23,-0600,,#HappierWithMeBirds #TomorrowAtOne 🔥🔥 #SadBird #LoveMe 💚🖤 #FeelingDown #Puckers  https://t.co/ueOoBbI4Gf,und,"['happierwithmebirds', 'tomorrowatone', 'sadbird', 'loveme', 'feelingdown', 'puckers']",[],1307826626126852098,1307826626126852098,SBagonais,ScarletBegonias,6,16,https://twitter.com/SBagonais/status/1327738675573174272,[],['https://pbs.twimg.com/media/Em0TSgZWEAI4Zio.jpg'],1,https://pbs.twimg.com/media/Em0TSgZWEAI4Zio.jpg,False,6,0,0,,#feelingdown,,,,,,,[],,,,
5,1327721429354373126,1327721429354373126,1605388431000.0,2020-11-14 15:13:51,-0600,,"If you're #feelingdown , this helps immediately- assured:  https://t.co/Fyi1j6CBF0",en,['feelingdown'],[],569057224,569057224,thegrandheart,grand herz,6,15,https://twitter.com/thegrandheart/status/1327721429354373126,['https://youtu.be/e8dFb6shbQI'],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
6,1327695217907142656,1327695217907142656,1605382181000.0,2020-11-14 13:29:41,-0600,,#NotHappy #CovidSucks #FeelingDown #BirdsTomororow 🖤💚  https://t.co/HFkAyABHGL,und,"['nothappy', 'covidsucks', 'feelingdown', 'birdstomororow']",[],1307826626126852098,1307826626126852098,SBagonais,ScarletBegonias,6,13,https://twitter.com/SBagonais/status/1327695217907142656,[],['https://pbs.twimg.com/media/Emzrw5UW4AACUKN.jpg'],1,https://pbs.twimg.com/media/Emzrw5UW4AACUKN.jpg,False,6,0,0,,#feelingdown,,,,,,,[],,,,
7,1327586589418139648,1327586589418139648,1605356282000.0,2020-11-14 06:18:02,-0600,,Plan for today’s hibernation. @BTCC qualifying. #johnnydepp film @StevieJRaw live charity stream @mcflymusic #allaboutyou  maybe another #johnnydepp film #mentalhealth #feelingdown,en,"['johnnydepp', 'allaboutyou', 'johnnydepp', 'mentalhealth', 'feelingdown']",[],143025542,143025542,carolantonia,Carol Palmer,6,06,https://twitter.com/carolantonia/status/1327586589418139648,[],[],0,,False,1,0,0,,#feelingdown,,,,,,,[],,,,
8,1327544018562142215,1327544018562142215,1605346133000.0,2020-11-14 03:28:53,-0600,,I love one (1) tragic cinnamon roll. @DrUnfuckable  #JustfinishedWatchingSkinsx0203 #feelingdown  https://t.co/wso2BtXqwA,en,"['justfinishedwatchingskinsx0203', 'feelingdown']",[],3243617903,3243617903,swagstrawberrry,baby Pcap’s unibrow ▬,6,03,https://twitter.com/swagstrawberrry/status/1327544018562142215,[],['https://pbs.twimg.com/media/Emxh6alWMAA2IDt.jpg'],1,https://pbs.twimg.com/media/Emxh6alWMAA2IDt.jpg,False,2,0,0,,#feelingdown,,,,,,,[],,,,
9,1327244915131043840,1327244915131043840,1605274821000.0,2020-11-13 07:40:21,-0600,,bye Guys tulog N Ak0 ng maaga kaC wLa aQ magawa At kasi DML aKouh 😒😪😪💔  #feelingsad #feelingdown #flznomoreDML #gudnyt,tl,"['feelingsad', 'feelingdown', 'flznomoredml', 'gudnyt']",[],1304490533767843840,1304490533767843840,mcdoughnt,crayon.,5,07,https://twitter.com/mcdoughnt/status/1327244915131043840,[],[],0,,False,6,0,0,,#feelingdown,,,,,,,[],,,,
