,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1330306526049947651,1087023847868715008,1606004766000.0,2020-11-21 19:26:06,-0500,, https://t.co/TaLC6OVLfi  #Motivational #PracticalSolutions #FeelingDown #Depressed #Constructive,und,"['motivational', 'practicalsolutions', 'feelingdown', 'depressed', 'constructive']",[],325155919,325155919,00Core00,***///\Core/\\\***,6,19,https://twitter.com/00Core00/status/1330306526049947651,['https://www.artofmanliness.com/articles/advice-from-a-92-year-old-veteran-of-wwii-on-healing-after-war/'],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
1,1330242620656848897,1330242620656848897,1605989530000.0,2020-11-21 15:12:10,-0500,,✍  Thanks Cherry Laithang for image  #darknessandlight #thelight #feelingdown #author #authors #write #writer #writersofinstagram #booklove #reader #thrillerbook #booklovers #bookaddict #bookshelf #bookstagram #poetry #instabook #writinglife #words  #writerscommunity  https://t.co/veXrchW1z3,en,"['darknessandlight', 'thelight', 'feelingdown', 'author', 'authors', 'write', 'writer', 'writersofinstagram', 'booklove', 'reader', 'thrillerbook', 'booklovers', 'bookaddict', 'bookshelf', 'bookstagram', 'poetry', 'instabook', 'writinglife', 'words', 'writerscommunity']",[],3377526591,3377526591,LafayetteVillad,Lafayette A. Villada,6,15,https://twitter.com/LafayetteVillad/status/1330242620656848897,[],['https://pbs.twimg.com/media/EnX4nNQW8AA0hO2.jpg'],1,https://pbs.twimg.com/media/EnX4nNQW8AA0hO2.jpg,False,0,0,0,,#feelingdown,,,,,,,[],,,,
2,1329938053968883712,1329938053968883712,1605916915000.0,2020-11-20 19:01:55,-0500,,Just a I was financially recovering from the last shutdown now I’ll have to go through it again and honestly I don’t know if I can make it this time.. #feelingdown #pandemic #denver #closedfordinein,en,"['feelingdown', 'pandemic', 'denver', 'closedfordinein']",[],914526240,914526240,C_trez13,Daisy,5,19,https://twitter.com/C_trez13/status/1329938053968883712,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
3,1329700024079372289,1329700024079372289,1605860165000.0,2020-11-20 03:16:05,-0500,,"ako lang ba, pero sa mga panahon nga #feelingdown kayko kay murag super funny gyud kaayo ang mga memes.",tl,['feelingdown'],[],761824660019302400,761824660019302400,cthrnbcd,CATH,5,03,https://twitter.com/cthrnbcd/status/1329700024079372289,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
4,1329471103455072256,1329471103455072256,1605805586000.0,2020-11-19 12:06:26,-0500,,"Have you ever thought you don't fit anywhere? How do you know you're in the right path? I think nobody does, do we? 😓 Although maybe it's just part of the process... #feelingdown?",en,['feelingdown'],[],938775341543370752,938775341543370752,marenmusical,Maren Gutiérrez,4,12,https://twitter.com/marenmusical/status/1329471103455072256,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
5,1329368756469067782,1329368756469067782,1605781184000.0,2020-11-19 05:19:44,-0500,,Not getting out my bed today gonna have a #avengersmarathon #feelingdown,en,"['avengersmarathon', 'feelingdown']",[],817848265760772101,817848265760772101,robertgraham76,Robert Graham,4,05,https://twitter.com/robertgraham76/status/1329368756469067782,[],[],0,,False,3,1,0,,#feelingdown,,,,,,,[],,,,
6,1328984131427061761,1328984131427061761,1605689482000.0,2020-11-18 03:51:22,-0500,,my son doesn’t love me #feelingdown #sad,en,"['feelingdown', 'sad']",[],1258783700319379457,1258783700319379457,miniborb,sam,3,03,https://twitter.com/miniborb/status/1328984131427061761,[],[],0,,False,2,1,0,,#feelingdown,,,,,,,[],,,,
7,1328974631080923136,1328974631080923136,1605687217000.0,2020-11-18 03:13:37,-0500,,JUST LOST MY YUMEKO HAIRCUT #FEELINGSAD #FEELINGDOWN #IMNOTOK #IHATEMYLIFE  https://t.co/PFsBOZxRsp,en,"['feelingsad', 'feelingdown', 'imnotok', 'ihatemylife']",[],1319608743777038338,1319608743777038338,jinsnails_,chelzy⁷ | check pinned.,3,03,https://twitter.com/jinsnails_/status/1328974631080923136,[],['https://pbs.twimg.com/media/EnF3YQaUcAAyFRX.jpg'],1,https://pbs.twimg.com/media/EnF3YQaUcAAyFRX.jpg,False,0,0,0,,#feelingdown,,,,,,,[],,,,
8,1328832045687205898,1328832045687205898,1605653222000.0,2020-11-17 17:47:02,-0500,,Why do people not see the good in you? #feels #feelingdown #imagoodperson,en,"['feels', 'feelingdown', 'imagoodperson']",[],801536096979079173,801536096979079173,mysticbones74,⚓Mely⚓,2,17,https://twitter.com/mysticbones74/status/1328832045687205898,[],[],0,,False,0,0,0,,#feelingdown,,,,,,,[],,,,
9,1328717791239819265,1328717791239819265,1605625982000.0,2020-11-17 10:13:02,-0500,,So people tried deleting me off Facebook and now Instagram why can’t people open god damn eyes for can’t communicate sometimes their only way is social media! + I’m not just saying this I wouldn’t do anything to anyone £!! #feelingdown !,en,['feelingdown'],[],606571731,606571731,MarucciSteph,Stephanie Sfc Marucci,2,10,https://twitter.com/MarucciSteph/status/1328717791239819265,[],[],0,,False,28,11,0,,#feelingdown,,,,,,,[],,,,
