,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1330343983072092161,1330343983072092161,1606013696000.0,2020-11-21 21:54:56,-0500,,아츠무동무 날래날래 뛰어오라우 안오면 총살이디,ko,[],[],1288826404637822976,1288826404637822976,spring_day_1016,봄날🌸,6,21,https://twitter.com/spring_day_1016/status/1330343983072092161,[],[],0,,False,0,0,0,https://twitter.com/eong_8/status/1329771228744146949,day,,,,,,,[],,,,
1,1330343982409404417,1330343676007100418,1606013696000.0,2020-11-21 21:54:56,-0500,,@_fairyhan BYEJHSKJ YOU SCARED ME I THOUGHT HE RESPONDED,en,[],[],1179797186135113729,1179797186135113729,hhjhours,tima ♡ ona & dee day!,6,21,https://twitter.com/hhjhours/status/1330343982409404417,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': '_fairyhan', 'name': 'ًnina.', 'id': '1279290386683432960'}]",,,,
2,1330343982375682048,1330094154983088131,1606013696000.0,2020-11-21 21:54:56,-0500,,@calicokv lmao idk a bad good thing ig??😭,en,[],[],1254613098591330305,1254613098591330305,kurooslvt,ᴮᴱamanda⁷𖧵|| JESSI DAY,6,21,https://twitter.com/kurooslvt/status/1330343982375682048,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': 'calicokv', 'name': ""ali ♡'s aly ## sleeping"", 'id': '1297518955377000448'}]",,,,
3,1330343982245830666,1330133741692391428,1606013696000.0,2020-11-21 21:54:56,-0500,,@hyejeong_lee2 @OfficialMonstaX Thriller   @OfficialMonstaX #MONSTAX,en,['monstax'],[],265723328,265723328,PsycheJoohoney,Lis Jung 💛 KIHYUN DAY 💛,6,21,https://twitter.com/PsycheJoohoney/status/1330343982245830666,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': 'hyejeong_lee2', 'name': 'VOTE ON MAMA& STREAM LOVE KILLA♡̆̈ 주헌', 'id': '1080005382041350144'}, {'screen_name': 'OfficialMonstaX', 'name': '몬스타엑스_MONSTA X', 'id': '3030158859'}]",,,,
4,1330343982065360896,1330343982065360896,1606013696000.0,2020-11-21 21:54:56,-0500,,@Stray_Kids  #StrayKids_Beyond_LIVE #Unlock_GOLIVEINLIFE  hanji i love uuuuu,und,"['straykids_beyond_live', 'unlock_goliveinlife']",[],1281225770405367808,1281225770405367808,118tbskz,abbie ?! abie day !!,6,21,https://twitter.com/118tbskz/status/1330343982065360896,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
5,1330343981767651329,1330343981767651329,1606013696000.0,2020-11-21 21:54:56,-0500,, https://t.co/l2RCjoFewj,und,[],[],1326723245643599873,1326723245643599873,iL0VTY,lele day 🗯,6,21,https://twitter.com/iL0VTY/status/1330343981767651329,['https://open.spotify.com/track/14909dF5EB4hvURmptzGSB?si=zts1S6TySU6qWwmDqkB5Kw'],[],0,,False,0,0,0,,day,,,,,,,[],,,,
6,1330343981599768577,1330292994600210433,1606013696000.0,2020-11-21 21:54:56,-0500,,"@quartzblocks - aydyn &amp; she/her - red &amp; green - wilbur, tommy, quackity, niki, ihascupquake, &amp; puffy - 2 dogs &amp; 2 cats :0 - i dunno 👁👁  https://t.co/3bi4F0n0As",en,[],[],1249572695848730625,1249572695848730625,xephsquackity,aydyn ♡︎’s del 🪅 ANA DAY,6,21,https://twitter.com/xephsquackity/status/1330343981599768577,[],"['https://pbs.twimg.com/media/EnZUtqDVoAEhTPH.jpg', 'https://pbs.twimg.com/media/EnZUtqCVoAAWkOE.jpg', 'https://pbs.twimg.com/media/EnZUtqCVkAEEMW4.jpg', 'https://pbs.twimg.com/media/EnZUtqvW4AAAeVd.jpg']",1,https://pbs.twimg.com/media/EnZUtqDVoAEhTPH.jpg,False,0,0,0,,day,,,,,,,"[{'screen_name': 'quartzblocks', 'name': 'ash ✧*˖◛⁺⑅♡', 'id': '1306825567568707606'}]",,,,
7,1330343981553569792,1330327985241677825,1606013696000.0,2020-11-21 21:54:56,-0500,,"Just as he bent over to take the cushion the doorbell rang. The man frowned, he wasn't expecting anyone today since he announced he would take a day off.  He walked out of Yoo Mia's room, quickly making his way to the front door.",en,[],[],1313734757818146816,1313734757818146816,Clttsptt,Colette Is A Potato🥔,6,21,https://twitter.com/Clttsptt/status/1330343981553569792,[],[],0,,False,0,1,0,,day,,,,,,,[],,,,
8,1330343981234974723,1330343981234974723,1606013696000.0,2020-11-21 21:54:56,-0500,,casi pienso q era orne pero mira si justo ella va a decir eso,es,[],[],1319474094191104000,1319474094191104000,only91s,mica ≭ tati's day!,6,21,https://twitter.com/only91s/status/1330343981234974723,[],[],0,,False,0,0,0,https://twitter.com/ShadiG16/status/1330323545533124609,day,,,,,,,[],,,,
9,1330343980958093315,1330343980958093315,1606013696000.0,2020-11-21 21:54:56,-0500,,lrt god of war nada mihoyo dijo: tartali canon,tl,[],[],602940747,602940747,rinnikis,Mari 💧🔶 LIZ DAY!!!1!! (430/300),6,21,https://twitter.com/rinnikis/status/1330343980958093315,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
10,1330343980429676550,1330343419177275395,1606013696000.0,2020-11-21 21:54:56,-0500,,@LIPSBAE Pois tinha que fazer!! Toda vez procuro o seu pra dar RT e nada 😔,pt,[],[],63259043,63259043,baebyday,day 冰,6,21,https://twitter.com/baebyday/status/1330343980429676550,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': 'LIPSBAE', 'name': 'lyn', 'id': '726805610570911745'}]",,,,
11,1330343979875897344,1330343979875897344,1606013696000.0,2020-11-21 21:54:56,-0500,,baby i love you ㅜㅜ💕💕 #Unlock_GOLIVEINLIFE #StrayKids_Beyond_LIVE,ko,"['unlock_goliveinlife', 'straykids_beyond_live']",[],961791608755699713,961791608755699713,mlk_kookies,kiwi ◡̈🪐 | KIHYUN DAY !!,6,21,https://twitter.com/mlk_kookies/status/1330343979875897344,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
12,1330343979859271680,1330342972865589248,1606013696000.0,2020-11-21 21:54:56,-0500,,"things like, idk, Percy Jackson, Hades, Blood of Olympus?all struck and washed away. Harry Potter? dead in the water as Ursula Le Guinn ran circles around j*r with that concept first. Animorphs? gone, as you're referencing animals and wars, and that counts, right?",en,[],[],985890637231874051,985890637231874051,mercurialcomet,merc / THEE ghost quartet stan / MY DAY,6,21,https://twitter.com/mercurialcomet/status/1330343979859271680,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
13,1330343979557269508,1330343979557269508,1606013695000.0,2020-11-21 21:54:55,-0500,,Kocham cię tak bardzo cię kocham  https://t.co/x1Fv3ALSpT,pl,[],[],1324490611647537152,1324490611647537152,eeevrg,💀mariczka AHS10 WOOZI DAY,6,21,https://twitter.com/eeevrg/status/1330343979557269508,[],"['https://pbs.twimg.com/media/EnZUy8YXMAUeqyG.jpg', 'https://pbs.twimg.com/media/EnZUzGLXcAApQQM.jpg']",1,https://pbs.twimg.com/media/EnZUy8YXMAUeqyG.jpg,False,0,0,0,,day,,,,,,,[],,,,
14,1330343979343200256,1330343979343200256,1606013695000.0,2020-11-21 21:54:55,-0500,,Lowkey 6 day weekend coming up,en,[],[],168414662,168414662,TaviGee,Jimmy Hoffa,6,21,https://twitter.com/TaviGee/status/1330343979343200256,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
15,1330343979217416192,1330343979217416192,1606013695000.0,2020-11-21 21:54:55,-0500,,今日中に書類仕事終わらせて明日は資料読むだけののんびりdayにする！がんばるぞ！,ja,[],[],847107097,847107097,yutsuki403,揺月,6,21,https://twitter.com/yutsuki403/status/1330343979217416192,[],[],0,,False,0,0,0,,day,,,,,,,[],,,,
16,1330343978722529287,1330343923856728064,1606013695000.0,2020-11-21 21:54:55,-0500,,WTB / LFS / HELP RT Preferably PH hehe Renjun / Jeno Photocards   Budget: Album PCs: 350-450 Kihno PCs: 650-950  Atleast 2 or more pcs per seller :(((  https://t.co/VbLYAQblH5,en,[],[],1329374315016458240,1329374315016458240,injuncart,nana ⛓ chenle day !,6,21,https://twitter.com/injuncart/status/1330343978722529287,[],"['https://pbs.twimg.com/media/EnZUxcXUcAAbTuW.jpg', 'https://pbs.twimg.com/media/EnZUzA1XMAIQVd4.jpg']",1,https://pbs.twimg.com/media/EnZUxcXUcAAbTuW.jpg,False,0,0,0,,day,,,,,,,[],,,,
17,1330343978714140672,1330342972865589248,1606013695000.0,2020-11-21 21:54:55,-0500,,"i just want op to be very careful with this premise, bc this is the slipperiest slope that someone can take in creative spaces. if using the EULER FORMULA as a title and HP LOVECRAFT themes in a COSMIC HORROR is plagiarism, than any allusion to classic myth is also that. so-",en,[],[],985890637231874051,985890637231874051,mercurialcomet,merc / THEE ghost quartet stan / MY DAY,6,21,https://twitter.com/mercurialcomet/status/1330343978714140672,[],[],0,,False,0,1,0,,day,,,,,,,[],,,,
18,1330343978370289670,1330339348680638464,1606013695000.0,2020-11-21 21:54:55,-0500,,@Stray_Kids GUITAR DUET PERFORMANCE WITH SEUNGMIN ??????? #StrayKids_Beyond_LIVE #Unlock_GOLIVEINLIFE,en,"['straykids_beyond_live', 'unlock_goliveinlife']",[],1262583339363504129,1262583339363504129,linocle,mac♛ chenle day !!,6,21,https://twitter.com/linocle/status/1330343978370289670,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': 'Stray_Kids', 'name': 'Stray Kids', 'id': '859297966581891072'}]",,,,
19,1330343978227490816,1330343978227490816,1606013695000.0,2020-11-21 21:54:55,-0500,,Allah Kabir is in form and he is enthroned on the seventh day after creating everything in 6 days as proved by the Surat Furkan chapter of Quran Sharif Aayat 52 to 59. - Bakhabar Saint Rampal Ji Maharaj Must Watch Sadhana TV 07:30PM (IST).  #अल्लाह_साकार_है  https://t.co/7Nhc0Q71Nn,en,['अल्लाह_साकार_है'],[],896342569851932673,896342569851932673,pradeep_v001,"🌿PDPV🇮🇳🇮🇳 #SPF,🌿",6,21,https://twitter.com/pradeep_v001/status/1330343978227490816,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1330339084787613696/pu/img/aJWdtAc6TrrHY7kw.jpg,False,0,0,0,,day,,,,,,,[],,,,
20,1330343978013777920,1330343978013777920,1606013695000.0,2020-11-21 21:54:55,-0500,,"Please help support woozi day!, add a #Twibbon now!  https://t.co/2o1DBYyuYt",en,['twibbon'],[],1266250766785761282,1266250766785761282,eennuyeux,bev;,6,21,https://twitter.com/eennuyeux/status/1330343978013777920,['https://twibbon.com/support/woozi-day-7/twitter'],[],0,,False,0,0,0,,day,,,,,,,[],,,,
21,1330343977934008328,1316091333044396032,1606013695000.0,2020-11-21 21:54:55,-0500,,@Frostaltered @SethosaurD @wholesomemomnts My disappointment is immeasurable and my day is ruined,en,[],[],876124140062822400,876124140062822400,elisemopie,"Elise, not Elsie",6,21,https://twitter.com/elisemopie/status/1330343977934008328,[],[],0,,False,0,0,0,,day,,,,,,,"[{'screen_name': 'Frostaltered', 'name': '❄Frostaltered❄🔫', 'id': '766406041143738368'}, {'screen_name': 'SethosaurD', 'name': 'SethosaurTheDinosaur', 'id': '1266563535926177792'}, {'screen_name': 'wholesomemomnts', 'name': 'WholesomeMoments', 'id': '1225225205758529541'}]",,,,
